user_id,activity_date
U0187,2025-07-06
U0187,2025-08-05
U0188,2025-07-07
U0190,2025-07-02
U0190,2025-07-08
U0191,2025-07-03
U0191,2025-07-09
U0192,2025-07-04
U0192,2025-07-10
U0194,2025-07-06
U0194,2025-07-12
U0196,2025-07-08
U0196,2025-08-07
U0197,2025-07-08
U0198,2025-07-09
U0199,2025-07-04
U0199,2025-08-03
U0200,2025-08-04
