中文名,分类,主文件,所有图片文件,备注
胶带封窗与沙暴外景,环境件,assets/scenes/rd_env_taped_window_sandstorm.png,assets/scenes/rd_env_taped_window_sandstorm.png; assets/scenes/rd_env_taped_window_sandstorm_128.png; assets/scenes/rd_env_taped_window_sandstorm_512.png; assets/scenes/rd_env_taped_window_sandstorm_64.png,背景适配版，已做 alpha bleed / 去白边
无罩墙面排气扇扇叶,环境件,assets/scenes/rd_env_wall_exhaust_fan_blades_rotor.png,assets/scenes/rd_env_wall_exhaust_fan_blades_rotor.png; assets/scenes/rd_env_wall_exhaust_fan_blades_rotor_128.png; assets/scenes/rd_env_wall_exhaust_fan_blades_rotor_512.png; assets/scenes/rd_env_wall_exhaust_fan_blades_rotor_64.png,背景适配版，已做 alpha bleed / 去白边
无罩墙面排气扇本体,环境件,assets/scenes/rd_env_wall_exhaust_fan_body_static.png,assets/scenes/rd_env_wall_exhaust_fan_body_static.png; assets/scenes/rd_env_wall_exhaust_fan_body_static_128.png; assets/scenes/rd_env_wall_exhaust_fan_body_static_512.png; assets/scenes/rd_env_wall_exhaust_fan_body_static_64.png,背景适配版，已做 alpha bleed / 去白边
无罩排气扇合成检查图,环境件,assets/scenes/rd_env_wall_exhaust_fan_split_composite_check.png,assets/scenes/rd_env_wall_exhaust_fan_split_composite_check.png,背景适配版，已做 alpha bleed / 去白边
可摆放物品的低矮木箱,环境件,assets/scenes/rd_env_wooden_crate_surface_empty.png,assets/scenes/rd_env_wooden_crate_surface_empty.png; assets/scenes/rd_env_wooden_crate_surface_empty_128.png; assets/scenes/rd_env_wooden_crate_surface_empty_512.png; assets/scenes/rd_env_wooden_crate_surface_empty_64.png,背景适配版，已做 alpha bleed / 去白边
柴油桶,事件资产,assets/events/rd_event_diesel_canister_scavenged.png,assets/events/rd_event_diesel_canister_scavenged.png; assets/events/rd_event_diesel_canister_scavenged_128.png; assets/events/rd_event_diesel_canister_scavenged_512.png; assets/events/rd_event_diesel_canister_scavenged_64.png,背景适配版，已做 alpha bleed / 去白边
夜访人门口剪影,事件资产,assets/events/rd_event_night_visitor_door_silhouette.png,assets/events/rd_event_night_visitor_door_silhouette.png; assets/events/rd_event_night_visitor_door_silhouette_128.png; assets/events/rd_event_night_visitor_door_silhouette_512.png; assets/events/rd_event_night_visitor_door_silhouette_64.png,背景适配版，已做 alpha bleed / 去白边
对楼摩斯信号,事件资产,assets/events/rd_event_opposite_building_morse_signal.png,assets/events/rd_event_opposite_building_morse_signal.png; assets/events/rd_event_opposite_building_morse_signal_128.png; assets/events/rd_event_opposite_building_morse_signal_512.png; assets/events/rd_event_opposite_building_morse_signal_64.png,背景适配版，已做 alpha bleed / 去白边
沙鼠入侵事件物,事件资产,assets/events/rd_event_sand_rat_intruder.png,assets/events/rd_event_sand_rat_intruder.png; assets/events/rd_event_sand_rat_intruder_128.png; assets/events/rd_event_sand_rat_intruder_512.png; assets/events/rd_event_sand_rat_intruder_64.png,背景适配版，已做 alpha bleed / 去白边
沙蝎入侵事件物,事件资产,assets/events/rd_event_sand_scorpion_intruder.png,assets/events/rd_event_sand_scorpion_intruder.png; assets/events/rd_event_sand_scorpion_intruder_128.png; assets/events/rd_event_sand_scorpion_intruder_512.png; assets/events/rd_event_sand_scorpion_intruder_64.png,背景适配版，已做 alpha bleed / 去白边
暖核研究站邀请信物,事件资产,assets/events/rd_event_warm_core_invitation_token.png,assets/events/rd_event_warm_core_invitation_token.png; assets/events/rd_event_warm_core_invitation_token_128.png; assets/events/rd_event_warm_core_invitation_token_512.png; assets/events/rd_event_warm_core_invitation_token_64.png,背景适配版，已做 alpha bleed / 去白边
AURA 智能音箱,道具,assets/props/rd_prop_aura_speaker_idle.png,assets/props/rd_prop_aura_speaker_idle.png; assets/props/rd_prop_aura_speaker_idle_128.png; assets/props/rd_prop_aura_speaker_idle_512.png; assets/props/rd_prop_aura_speaker_idle_64.png,背景适配版，已做 alpha bleed / 去白边
备用电池混装盒,道具,assets/props/rd_prop_battery_box_mixed_cells.png,assets/props/rd_prop_battery_box_mixed_cells.png; assets/props/rd_prop_battery_box_mixed_cells_128.png; assets/props/rd_prop_battery_box_mixed_cells_512.png; assets/props/rd_prop_battery_box_mixed_cells_64.png,背景适配版，已做 alpha bleed / 去白边
国际象棋,道具,assets/props/rd_prop_chess_board_single.png,assets/props/rd_prop_chess_board_single.png; assets/props/rd_prop_chess_board_single_128.png; assets/props/rd_prop_chess_board_single_512.png; assets/props/rd_prop_chess_board_single_64.png,背景适配版，已做 alpha bleed / 去白边
象棋与纸牌减压组合,道具,assets/props/rd_prop_chess_cards_sanity_set.png,assets/props/rd_prop_chess_cards_sanity_set.png; assets/props/rd_prop_chess_cards_sanity_set_128.png; assets/props/rd_prop_chess_cards_sanity_set_512.png; assets/props/rd_prop_chess_cards_sanity_set_64.png,背景适配版，已做 alpha bleed / 去白边
手绘城市地图,道具,assets/props/rd_prop_city_map_handdrawn_folded.png,assets/props/rd_prop_city_map_handdrawn_folded.png; assets/props/rd_prop_city_map_handdrawn_folded_128.png; assets/props/rd_prop_city_map_handdrawn_folded_512.png; assets/props/rd_prop_city_map_handdrawn_folded_64.png,背景适配版，已做 alpha bleed / 去白边
撬棍与信号枪组合,道具,assets/props/rd_prop_crowbar_signal_flare_pair.png,assets/props/rd_prop_crowbar_signal_flare_pair.png; assets/props/rd_prop_crowbar_signal_flare_pair_128.png; assets/props/rd_prop_crowbar_signal_flare_pair_512.png; assets/props/rd_prop_crowbar_signal_flare_pair_64.png,背景适配版，已做 alpha bleed / 去白边
司机工具箱,道具,assets/props/rd_prop_driver_toolbox_blue_metal.png,assets/props/rd_prop_driver_toolbox_blue_metal.png; assets/props/rd_prop_driver_toolbox_blue_metal_128.png; assets/props/rd_prop_driver_toolbox_blue_metal_512.png; assets/props/rd_prop_driver_toolbox_blue_metal_64.png,背景适配版，已做 alpha bleed / 去白边
急救包,道具,assets/props/rd_prop_first_aid_kit_wall_softcase.png,assets/props/rd_prop_first_aid_kit_wall_softcase.png; assets/props/rd_prop_first_aid_kit_wall_softcase_128.png; assets/props/rd_prop_first_aid_kit_wall_softcase_512.png; assets/props/rd_prop_first_aid_kit_wall_softcase_64.png,背景适配版，已做 alpha bleed / 去白边
杀虫剂,道具,assets/props/rd_prop_insect_spray_sand_pests.png,assets/props/rd_prop_insect_spray_sand_pests.png; assets/props/rd_prop_insect_spray_sand_pests_128.png; assets/props/rd_prop_insect_spray_sand_pests_512.png; assets/props/rd_prop_insect_spray_sand_pests_64.png,背景适配版，已做 alpha bleed / 去白边
旧 MP3 与耳机,道具,assets/props/rd_prop_mp3_earbuds_repaired.png,assets/props/rd_prop_mp3_earbuds_repaired.png; assets/props/rd_prop_mp3_earbuds_repaired_128.png; assets/props/rd_prop_mp3_earbuds_repaired_512.png; assets/props/rd_prop_mp3_earbuds_repaired_64.png,背景适配版，已做 alpha bleed / 去白边
旧报纸合订本,道具,assets/props/rd_prop_old_newspaper_bound_volume.png,assets/props/rd_prop_old_newspaper_bound_volume.png; assets/props/rd_prop_old_newspaper_bound_volume_128.png; assets/props/rd_prop_old_newspaper_bound_volume_512.png; assets/props/rd_prop_old_newspaper_bound_volume_64.png,背景适配版，已做 alpha bleed / 去白边
扑克牌,道具,assets/props/rd_prop_playing_cards_deck_single.png,assets/props/rd_prop_playing_cards_deck_single.png; assets/props/rd_prop_playing_cards_deck_single_128.png; assets/props/rd_prop_playing_cards_deck_single_512.png; assets/props/rd_prop_playing_cards_deck_single_64.png,背景适配版，已做 alpha bleed / 去白边
半导体收音机,道具,assets/props/rd_prop_radio_semiconductor_idle.png,assets/props/rd_prop_radio_semiconductor_idle.png; assets/props/rd_prop_radio_semiconductor_idle_128.png; assets/props/rd_prop_radio_semiconductor_idle_512.png; assets/props/rd_prop_radio_semiconductor_idle_64.png,背景适配版，已做 alpha bleed / 去白边
加固门栓,道具,assets/props/rd_prop_reinforced_door_bar_wallmount.png,assets/props/rd_prop_reinforced_door_bar_wallmount.png; assets/props/rd_prop_reinforced_door_bar_wallmount_128.png; assets/props/rd_prop_reinforced_door_bar_wallmount_512.png; assets/props/rd_prop_reinforced_door_bar_wallmount_64.png,背景适配版，已做 alpha bleed / 去白边
防沙面罩与护目镜,道具,assets/props/rd_prop_sand_mask_goggles_hanging.png,assets/props/rd_prop_sand_mask_goggles_hanging.png; assets/props/rd_prop_sand_mask_goggles_hanging_128.png; assets/props/rd_prop_sand_mask_goggles_hanging_512.png; assets/props/rd_prop_sand_mask_goggles_hanging_64.png,背景适配版，已做 alpha bleed / 去白边
单片防沙滤芯,生存资源,assets/resources/rd_res_filter_disc_single.png,assets/resources/rd_res_filter_disc_single.png; assets/resources/rd_res_filter_disc_single_128.png; assets/resources/rd_res_filter_disc_single_512.png; assets/resources/rd_res_filter_disc_single_64.png,背景适配版，已做 alpha bleed / 去白边
防沙滤芯堆叠,生存资源,assets/resources/rd_res_filter_disc_stack_clean_used.png,assets/resources/rd_res_filter_disc_stack_clean_used.png; assets/resources/rd_res_filter_disc_stack_clean_used_128.png; assets/resources/rd_res_filter_disc_stack_clean_used_512.png; assets/resources/rd_res_filter_disc_stack_clean_used_64.png,背景适配版，已做 alpha bleed / 去白边
单个真空压缩食品盒,生存资源,assets/resources/rd_res_food_vacuum_box_single.png,assets/resources/rd_res_food_vacuum_box_single.png; assets/resources/rd_res_food_vacuum_box_single_128.png; assets/resources/rd_res_food_vacuum_box_single_512.png; assets/resources/rd_res_food_vacuum_box_single_64.png,背景适配版，已做 alpha bleed / 去白边
真空压缩食品盒堆叠,生存资源,assets/resources/rd_res_food_vacuum_box_stack.png,assets/resources/rd_res_food_vacuum_box_stack.png; assets/resources/rd_res_food_vacuum_box_stack_128.png; assets/resources/rd_res_food_vacuum_box_stack_512.png; assets/resources/rd_res_food_vacuum_box_stack_64.png,背景适配版，已做 alpha bleed / 去白边
真空压缩食品堆叠（兼容旧名）,生存资源,assets/resources/rd_res_food_vacuum_pack_stack.png,assets/resources/rd_res_food_vacuum_pack_stack.png; assets/resources/rd_res_food_vacuum_pack_stack_128.png; assets/resources/rd_res_food_vacuum_pack_stack_512.png; assets/resources/rd_res_food_vacuum_pack_stack_64.png,背景适配版，已做 alpha bleed / 去白边
净水水瓶组与大蓝水罐,生存资源,assets/resources/rd_res_water_bottle_jug_full.png,assets/resources/rd_res_water_bottle_jug_full.png; assets/resources/rd_res_water_bottle_jug_full_128.png; assets/resources/rd_res_water_bottle_jug_full_512.png; assets/resources/rd_res_water_bottle_jug_full_64.png,背景适配版，已做 alpha bleed / 去白边
单瓶净水,生存资源,assets/resources/rd_res_water_bottle_single.png,assets/resources/rd_res_water_bottle_single.png; assets/resources/rd_res_water_bottle_single_128.png; assets/resources/rd_res_water_bottle_single_512.png; assets/resources/rd_res_water_bottle_single_64.png,背景适配版，已做 alpha bleed / 去白边
scene apt main day idle,环境件,assets/scenes/rd_scene_apt_main_day_idle.png,assets/scenes/rd_scene_apt_main_day_idle.png; assets/scenes/rd_scene_apt_main_day_idle_1920.png; assets/scenes/rd_scene_apt_main_day_idle_480.png; assets/scenes/rd_scene_apt_main_day_idle_960.png,背景适配版，已做 alpha bleed / 去白边
AURA 小尺寸状态图标,UI,assets/ui/rd_ui_aura_icon_compact.png,assets/ui/rd_ui_aura_icon_compact.png; assets/ui/rd_ui_aura_icon_compact_128.png; assets/ui/rd_ui_aura_icon_compact_512.png; assets/ui/rd_ui_aura_icon_compact_64.png,背景适配版，已做 alpha bleed / 去白边
AURA 推理面板,UI,assets/ui/rd_ui_aura_panel_active.png,assets/ui/rd_ui_aura_panel_active.png; assets/ui/rd_ui_aura_panel_active_128.png; assets/ui/rd_ui_aura_panel_active_512.png; assets/ui/rd_ui_aura_panel_active_64.png,背景适配版，已做 alpha bleed / 去白边
日记事件卡空白版,UI,assets/ui/rd_ui_diary_event_card_blank.png,assets/ui/rd_ui_diary_event_card_blank.png; assets/ui/rd_ui_diary_event_card_blank_128.png; assets/ui/rd_ui_diary_event_card_blank_512.png; assets/ui/rd_ui_diary_event_card_blank_64.png,背景适配版，已做 alpha bleed / 去白边
日记本与笔,UI,assets/ui/rd_ui_diary_notebook_pen.png,assets/ui/rd_ui_diary_notebook_pen.png; assets/ui/rd_ui_diary_notebook_pen_128.png; assets/ui/rd_ui_diary_notebook_pen_512.png; assets/ui/rd_ui_diary_notebook_pen_64.png,背景适配版，已做 alpha bleed / 去白边
可用道具槽,UI,assets/ui/rd_ui_prop_slot_available.png,assets/ui/rd_ui_prop_slot_available.png; assets/ui/rd_ui_prop_slot_available_128.png; assets/ui/rd_ui_prop_slot_available_512.png; assets/ui/rd_ui_prop_slot_available_64.png,背景适配版，已做 alpha bleed / 去白边
不可用道具槽,UI,assets/ui/rd_ui_prop_slot_unavailable.png,assets/ui/rd_ui_prop_slot_unavailable.png; assets/ui/rd_ui_prop_slot_unavailable_128.png; assets/ui/rd_ui_prop_slot_unavailable_512.png; assets/ui/rd_ui_prop_slot_unavailable_64.png,背景适配版，已做 alpha bleed / 去白边
饥饿状态图标,UI,assets/ui/rd_ui_status_hunger.png,assets/ui/rd_ui_status_hunger.png; assets/ui/rd_ui_status_hunger_128.png; assets/ui/rd_ui_status_hunger_512.png; assets/ui/rd_ui_status_hunger_64.png,背景适配版，已做 alpha bleed / 去白边
受伤状态图标,UI,assets/ui/rd_ui_status_injured.png,assets/ui/rd_ui_status_injured.png; assets/ui/rd_ui_status_injured_128.png; assets/ui/rd_ui_status_injured_512.png; assets/ui/rd_ui_status_injured_64.png,背景适配版，已做 alpha bleed / 去白边
精神恐慌状态图标,UI,assets/ui/rd_ui_status_sanity_panic.png,assets/ui/rd_ui_status_sanity_panic.png; assets/ui/rd_ui_status_sanity_panic_128.png; assets/ui/rd_ui_status_sanity_panic_512.png; assets/ui/rd_ui_status_sanity_panic_64.png,背景适配版，已做 alpha bleed / 去白边
外出拾荒状态图标,UI,assets/ui/rd_ui_status_scavenging_outside.png,assets/ui/rd_ui_status_scavenging_outside.png; assets/ui/rd_ui_status_scavenging_outside_128.png; assets/ui/rd_ui_status_scavenging_outside_512.png; assets/ui/rd_ui_status_scavenging_outside_64.png,背景适配版，已做 alpha bleed / 去白边
生病状态图标,UI,assets/ui/rd_ui_status_sick.png,assets/ui/rd_ui_status_sick.png; assets/ui/rd_ui_status_sick_128.png; assets/ui/rd_ui_status_sick_512.png; assets/ui/rd_ui_status_sick_64.png,背景适配版，已做 alpha bleed / 去白边
口渴状态图标,UI,assets/ui/rd_ui_status_thirst.png,assets/ui/rd_ui_status_thirst.png; assets/ui/rd_ui_status_thirst_128.png; assets/ui/rd_ui_status_thirst_512.png; assets/ui/rd_ui_status_thirst_64.png,背景适配版，已做 alpha bleed / 去白边
