图片文件名,相对路径,中文名,分类,尺寸版本,备注
rd_event_sand_rat_intruder_512.png,assets/events/rd_event_sand_rat_intruder_512.png,沙鼠入侵事件物,事件资产,512,背景适配版，已做 alpha bleed / 去白边
rd_event_sand_rat_intruder_64.png,assets/events/rd_event_sand_rat_intruder_64.png,沙鼠入侵事件物,事件资产,64,背景适配版，已做 alpha bleed / 去白边
rd_event_sand_scorpion_intruder.png,assets/events/rd_event_sand_scorpion_intruder.png,沙蝎入侵事件物,事件资产,canonical,背景适配版，已做 alpha bleed / 去白边
rd_event_sand_scorpion_intruder_128.png,assets/events/rd_event_sand_scorpion_intruder_128.png,沙蝎入侵事件物,事件资产,128,背景适配版，已做 alpha bleed / 去白边
rd_event_sand_scorpion_intruder_512.png,assets/events/rd_event_sand_scorpion_intruder_512.png,沙蝎入侵事件物,事件资产,512,背景适配版，已做 alpha bleed / 去白边
rd_event_sand_scorpion_intruder_64.png,assets/events/rd_event_sand_scorpion_intruder_64.png,沙蝎入侵事件物,事件资产,64,背景适配版，已做 alpha bleed / 去白边
rd_event_warm_core_invitation_token.png,assets/events/rd_event_warm_core_invitation_token.png,暖核研究站邀请信物,事件资产,canonical,背景适配版，已做 alpha bleed / 去白边
rd_event_warm_core_invitation_token_128.png,assets/events/rd_event_warm_core_invitation_token_128.png,暖核研究站邀请信物,事件资产,128,背景适配版，已做 alpha bleed / 去白边
rd_event_warm_core_invitation_token_512.png,assets/events/rd_event_warm_core_invitation_token_512.png,暖核研究站邀请信物,事件资产,512,背景适配版，已做 alpha bleed / 去白边
rd_event_warm_core_invitation_token_64.png,assets/events/rd_event_warm_core_invitation_token_64.png,暖核研究站邀请信物,事件资产,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_aura_speaker_idle.png,assets/props/rd_prop_aura_speaker_idle.png,AURA 智能音箱,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_aura_speaker_idle_128.png,assets/props/rd_prop_aura_speaker_idle_128.png,AURA 智能音箱,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_aura_speaker_idle_512.png,assets/props/rd_prop_aura_speaker_idle_512.png,AURA 智能音箱,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_aura_speaker_idle_64.png,assets/props/rd_prop_aura_speaker_idle_64.png,AURA 智能音箱,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_battery_box_mixed_cells.png,assets/props/rd_prop_battery_box_mixed_cells.png,备用电池混装盒,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_battery_box_mixed_cells_128.png,assets/props/rd_prop_battery_box_mixed_cells_128.png,备用电池混装盒,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_battery_box_mixed_cells_512.png,assets/props/rd_prop_battery_box_mixed_cells_512.png,备用电池混装盒,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_battery_box_mixed_cells_64.png,assets/props/rd_prop_battery_box_mixed_cells_64.png,备用电池混装盒,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_chess_board_single.png,assets/props/rd_prop_chess_board_single.png,国际象棋,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_chess_board_single_128.png,assets/props/rd_prop_chess_board_single_128.png,国际象棋,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_chess_board_single_512.png,assets/props/rd_prop_chess_board_single_512.png,国际象棋,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_chess_board_single_64.png,assets/props/rd_prop_chess_board_single_64.png,国际象棋,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_chess_cards_sanity_set.png,assets/props/rd_prop_chess_cards_sanity_set.png,象棋与纸牌减压组合,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_chess_cards_sanity_set_128.png,assets/props/rd_prop_chess_cards_sanity_set_128.png,象棋与纸牌减压组合,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_chess_cards_sanity_set_512.png,assets/props/rd_prop_chess_cards_sanity_set_512.png,象棋与纸牌减压组合,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_chess_cards_sanity_set_64.png,assets/props/rd_prop_chess_cards_sanity_set_64.png,象棋与纸牌减压组合,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_city_map_handdrawn_folded.png,assets/props/rd_prop_city_map_handdrawn_folded.png,手绘城市地图,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_city_map_handdrawn_folded_128.png,assets/props/rd_prop_city_map_handdrawn_folded_128.png,手绘城市地图,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_city_map_handdrawn_folded_512.png,assets/props/rd_prop_city_map_handdrawn_folded_512.png,手绘城市地图,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_city_map_handdrawn_folded_64.png,assets/props/rd_prop_city_map_handdrawn_folded_64.png,手绘城市地图,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_crowbar_signal_flare_pair.png,assets/props/rd_prop_crowbar_signal_flare_pair.png,撬棍与信号枪组合,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_crowbar_signal_flare_pair_128.png,assets/props/rd_prop_crowbar_signal_flare_pair_128.png,撬棍与信号枪组合,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_crowbar_signal_flare_pair_512.png,assets/props/rd_prop_crowbar_signal_flare_pair_512.png,撬棍与信号枪组合,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_crowbar_signal_flare_pair_64.png,assets/props/rd_prop_crowbar_signal_flare_pair_64.png,撬棍与信号枪组合,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_driver_toolbox_blue_metal.png,assets/props/rd_prop_driver_toolbox_blue_metal.png,司机工具箱,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_driver_toolbox_blue_metal_128.png,assets/props/rd_prop_driver_toolbox_blue_metal_128.png,司机工具箱,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_driver_toolbox_blue_metal_512.png,assets/props/rd_prop_driver_toolbox_blue_metal_512.png,司机工具箱,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_driver_toolbox_blue_metal_64.png,assets/props/rd_prop_driver_toolbox_blue_metal_64.png,司机工具箱,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_first_aid_kit_wall_softcase.png,assets/props/rd_prop_first_aid_kit_wall_softcase.png,急救包,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_first_aid_kit_wall_softcase_128.png,assets/props/rd_prop_first_aid_kit_wall_softcase_128.png,急救包,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_first_aid_kit_wall_softcase_512.png,assets/props/rd_prop_first_aid_kit_wall_softcase_512.png,急救包,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_first_aid_kit_wall_softcase_64.png,assets/props/rd_prop_first_aid_kit_wall_softcase_64.png,急救包,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_insect_spray_sand_pests.png,assets/props/rd_prop_insect_spray_sand_pests.png,杀虫剂,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_insect_spray_sand_pests_128.png,assets/props/rd_prop_insect_spray_sand_pests_128.png,杀虫剂,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_insect_spray_sand_pests_512.png,assets/props/rd_prop_insect_spray_sand_pests_512.png,杀虫剂,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_insect_spray_sand_pests_64.png,assets/props/rd_prop_insect_spray_sand_pests_64.png,杀虫剂,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_mp3_earbuds_repaired.png,assets/props/rd_prop_mp3_earbuds_repaired.png,旧 MP3 与耳机,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_mp3_earbuds_repaired_128.png,assets/props/rd_prop_mp3_earbuds_repaired_128.png,旧 MP3 与耳机,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_mp3_earbuds_repaired_512.png,assets/props/rd_prop_mp3_earbuds_repaired_512.png,旧 MP3 与耳机,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_mp3_earbuds_repaired_64.png,assets/props/rd_prop_mp3_earbuds_repaired_64.png,旧 MP3 与耳机,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_old_newspaper_bound_volume.png,assets/props/rd_prop_old_newspaper_bound_volume.png,旧报纸合订本,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_old_newspaper_bound_volume_128.png,assets/props/rd_prop_old_newspaper_bound_volume_128.png,旧报纸合订本,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_old_newspaper_bound_volume_512.png,assets/props/rd_prop_old_newspaper_bound_volume_512.png,旧报纸合订本,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_old_newspaper_bound_volume_64.png,assets/props/rd_prop_old_newspaper_bound_volume_64.png,旧报纸合订本,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_playing_cards_deck_single.png,assets/props/rd_prop_playing_cards_deck_single.png,扑克牌,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_playing_cards_deck_single_128.png,assets/props/rd_prop_playing_cards_deck_single_128.png,扑克牌,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_playing_cards_deck_single_512.png,assets/props/rd_prop_playing_cards_deck_single_512.png,扑克牌,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_playing_cards_deck_single_64.png,assets/props/rd_prop_playing_cards_deck_single_64.png,扑克牌,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_radio_semiconductor_idle.png,assets/props/rd_prop_radio_semiconductor_idle.png,半导体收音机,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_radio_semiconductor_idle_128.png,assets/props/rd_prop_radio_semiconductor_idle_128.png,半导体收音机,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_radio_semiconductor_idle_512.png,assets/props/rd_prop_radio_semiconductor_idle_512.png,半导体收音机,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_radio_semiconductor_idle_64.png,assets/props/rd_prop_radio_semiconductor_idle_64.png,半导体收音机,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_reinforced_door_bar_wallmount.png,assets/props/rd_prop_reinforced_door_bar_wallmount.png,加固门栓,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_reinforced_door_bar_wallmount_128.png,assets/props/rd_prop_reinforced_door_bar_wallmount_128.png,加固门栓,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_reinforced_door_bar_wallmount_512.png,assets/props/rd_prop_reinforced_door_bar_wallmount_512.png,加固门栓,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_reinforced_door_bar_wallmount_64.png,assets/props/rd_prop_reinforced_door_bar_wallmount_64.png,加固门栓,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_prop_sand_mask_goggles_hanging.png,assets/props/rd_prop_sand_mask_goggles_hanging.png,防沙面罩与护目镜,道具,canonical,背景适配版，已做 alpha bleed / 去白边
rd_prop_sand_mask_goggles_hanging_128.png,assets/props/rd_prop_sand_mask_goggles_hanging_128.png,防沙面罩与护目镜,道具,128,背景适配版，已做 alpha bleed / 去白边
rd_prop_sand_mask_goggles_hanging_512.png,assets/props/rd_prop_sand_mask_goggles_hanging_512.png,防沙面罩与护目镜,道具,512,背景适配版，已做 alpha bleed / 去白边
rd_prop_sand_mask_goggles_hanging_64.png,assets/props/rd_prop_sand_mask_goggles_hanging_64.png,防沙面罩与护目镜,道具,64,背景适配版，已做 alpha bleed / 去白边
rd_res_filter_disc_single.png,assets/resources/rd_res_filter_disc_single.png,单片防沙滤芯,生存资源,canonical,背景适配版，已做 alpha bleed / 去白边
rd_res_filter_disc_single_128.png,assets/resources/rd_res_filter_disc_single_128.png,单片防沙滤芯,生存资源,128,背景适配版，已做 alpha bleed / 去白边
rd_res_filter_disc_single_512.png,assets/resources/rd_res_filter_disc_single_512.png,单片防沙滤芯,生存资源,512,背景适配版，已做 alpha bleed / 去白边
rd_res_filter_disc_single_64.png,assets/resources/rd_res_filter_disc_single_64.png,单片防沙滤芯,生存资源,64,背景适配版，已做 alpha bleed / 去白边
rd_res_filter_disc_stack_clean_used.png,assets/resources/rd_res_filter_disc_stack_clean_used.png,防沙滤芯堆叠,生存资源,canonical,背景适配版，已做 alpha bleed / 去白边
rd_res_filter_disc_stack_clean_used_128.png,assets/resources/rd_res_filter_disc_stack_clean_used_128.png,防沙滤芯堆叠,生存资源,128,背景适配版，已做 alpha bleed / 去白边
rd_res_filter_disc_stack_clean_used_512.png,assets/resources/rd_res_filter_disc_stack_clean_used_512.png,防沙滤芯堆叠,生存资源,512,背景适配版，已做 alpha bleed / 去白边
rd_res_filter_disc_stack_clean_used_64.png,assets/resources/rd_res_filter_disc_stack_clean_used_64.png,防沙滤芯堆叠,生存资源,64,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_box_single.png,assets/resources/rd_res_food_vacuum_box_single.png,单个真空压缩食品盒,生存资源,canonical,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_box_single_128.png,assets/resources/rd_res_food_vacuum_box_single_128.png,单个真空压缩食品盒,生存资源,128,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_box_single_512.png,assets/resources/rd_res_food_vacuum_box_single_512.png,单个真空压缩食品盒,生存资源,512,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_box_single_64.png,assets/resources/rd_res_food_vacuum_box_single_64.png,单个真空压缩食品盒,生存资源,64,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_box_stack.png,assets/resources/rd_res_food_vacuum_box_stack.png,真空压缩食品盒堆叠,生存资源,canonical,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_box_stack_128.png,assets/resources/rd_res_food_vacuum_box_stack_128.png,真空压缩食品盒堆叠,生存资源,128,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_box_stack_512.png,assets/resources/rd_res_food_vacuum_box_stack_512.png,真空压缩食品盒堆叠,生存资源,512,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_box_stack_64.png,assets/resources/rd_res_food_vacuum_box_stack_64.png,真空压缩食品盒堆叠,生存资源,64,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_pack_stack.png,assets/resources/rd_res_food_vacuum_pack_stack.png,真空压缩食品堆叠（兼容旧名）,生存资源,canonical,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_pack_stack_128.png,assets/resources/rd_res_food_vacuum_pack_stack_128.png,真空压缩食品堆叠（兼容旧名）,生存资源,128,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_pack_stack_512.png,assets/resources/rd_res_food_vacuum_pack_stack_512.png,真空压缩食品堆叠（兼容旧名）,生存资源,512,背景适配版，已做 alpha bleed / 去白边
rd_res_food_vacuum_pack_stack_64.png,assets/resources/rd_res_food_vacuum_pack_stack_64.png,真空压缩食品堆叠（兼容旧名）,生存资源,64,背景适配版，已做 alpha bleed / 去白边
rd_res_water_bottle_jug_full.png,assets/resources/rd_res_water_bottle_jug_full.png,净水水瓶组与大蓝水罐,生存资源,canonical,背景适配版，已做 alpha bleed / 去白边
rd_res_water_bottle_jug_full_128.png,assets/resources/rd_res_water_bottle_jug_full_128.png,净水水瓶组与大蓝水罐,生存资源,128,背景适配版，已做 alpha bleed / 去白边
rd_res_water_bottle_jug_full_512.png,assets/resources/rd_res_water_bottle_jug_full_512.png,净水水瓶组与大蓝水罐,生存资源,512,背景适配版，已做 alpha bleed / 去白边
rd_res_water_bottle_jug_full_64.png,assets/resources/rd_res_water_bottle_jug_full_64.png,净水水瓶组与大蓝水罐,生存资源,64,背景适配版，已做 alpha bleed / 去白边
rd_res_water_bottle_single.png,assets/resources/rd_res_water_bottle_single.png,单瓶净水,生存资源,canonical,背景适配版，已做 alpha bleed / 去白边
rd_res_water_bottle_single_128.png,assets/resources/rd_res_water_bottle_single_128.png,单瓶净水,生存资源,128,背景适配版，已做 alpha bleed / 去白边
rd_res_water_bottle_single_512.png,assets/resources/rd_res_water_bottle_single_512.png,单瓶净水,生存资源,512,背景适配版，已做 alpha bleed / 去白边
rd_res_water_bottle_single_64.png,assets/resources/rd_res_water_bottle_single_64.png,单瓶净水,生存资源,64,背景适配版，已做 alpha bleed / 去白边
rd_env_ceiling_lamp_warm.png,assets/scenes/rd_env_ceiling_lamp_warm.png,暖色吊灯,环境件,canonical,背景适配版，已做 alpha bleed / 去白边
rd_env_ceiling_lamp_warm_128.png,assets/scenes/rd_env_ceiling_lamp_warm_128.png,暖色吊灯,环境件,128,背景适配版，已做 alpha bleed / 去白边
rd_env_ceiling_lamp_warm_512.png,assets/scenes/rd_env_ceiling_lamp_warm_512.png,暖色吊灯,环境件,512,背景适配版，已做 alpha bleed / 去白边
rd_env_ceiling_lamp_warm_64.png,assets/scenes/rd_env_ceiling_lamp_warm_64.png,暖色吊灯,环境件,64,背景适配版，已做 alpha bleed / 去白边
rd_env_chair_old_rattan.png,assets/scenes/rd_env_chair_old_rattan.png,旧藤椅,环境件,canonical,背景适配版，已做 alpha bleed / 去白边
rd_env_chair_old_rattan_128.png,assets/scenes/rd_env_chair_old_rattan_128.png,旧藤椅,环境件,128,背景适配版，已做 alpha bleed / 去白边
rd_env_chair_old_rattan_512.png,assets/scenes/rd_env_chair_old_rattan_512.png,旧藤椅,环境件,512,背景适配版，已做 alpha bleed / 去白边
rd_env_chair_old_rattan_64.png,assets/scenes/rd_env_chair_old_rattan_64.png,旧藤椅,环境件,64,背景适配版，已做 alpha bleed / 去白边
rd_env_emergency_lamp_orange.png,assets/scenes/rd_env_emergency_lamp_orange.png,橙色应急灯,环境件,canonical,背景适配版，已做 alpha bleed / 去白边
rd_env_emergency_lamp_orange_128.png,assets/scenes/rd_env_emergency_lamp_orange_128.png,橙色应急灯,环境件,128,背景适配版，已做 alpha bleed / 去白边
rd_env_emergency_lamp_orange_512.png,assets/scenes/rd_env_emergency_lamp_orange_512.png,橙色应急灯,环境件,512,背景适配版，已做 alpha bleed / 去白边
rd_env_emergency_lamp_orange_64.png,assets/scenes/rd_env_emergency_lamp_orange_64.png,橙色应急灯,环境件,64,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_blades_rotor.png,assets/scenes/rd_env_exhaust_fan_blades_rotor.png,旧版顶部排风扇扇叶,环境件,canonical,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_blades_rotor_128.png,assets/scenes/rd_env_exhaust_fan_blades_rotor_128.png,旧版顶部排风扇扇叶,环境件,128,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_blades_rotor_512.png,assets/scenes/rd_env_exhaust_fan_blades_rotor_512.png,旧版顶部排风扇扇叶,环境件,512,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_blades_rotor_64.png,assets/scenes/rd_env_exhaust_fan_blades_rotor_64.png,旧版顶部排风扇扇叶,环境件,64,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_body_static.png,assets/scenes/rd_env_exhaust_fan_body_static.png,旧版顶部排风扇本体,环境件,canonical,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_body_static_128.png,assets/scenes/rd_env_exhaust_fan_body_static_128.png,旧版顶部排风扇本体,环境件,128,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_body_static_512.png,assets/scenes/rd_env_exhaust_fan_body_static_512.png,旧版顶部排风扇本体,环境件,512,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_body_static_64.png,assets/scenes/rd_env_exhaust_fan_body_static_64.png,旧版顶部排风扇本体,环境件,64,背景适配版，已做 alpha bleed / 去白边
rd_env_exhaust_fan_split_composite_check.png,assets/scenes/rd_env_exhaust_fan_split_composite_check.png,env exhaust fan split composite check,环境件,canonical,背景适配版，已做 alpha bleed / 去白边
rd_env_fan_ventilation_set.png,assets/scenes/rd_env_fan_ventilation_set.png,旧版电扇与排风扇组合,环境件,canonical,背景适配版，已做 alpha bleed / 去白边
